id,name,ADMIN,Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2),Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO2e),Population (people),Total GHG Emissions Excluding Land-Use Change & Forestry Per Capita (tCO2e Per Capita),Total GHG Emissions Including Land-Use Change & Forestry Per Capita (tCO2e Per Capita),GDP-PPP (Million Intl$ (2011)),GDP-USD (Million US$ (2010)),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2)
1,Argentina,Argentina,200,349,443,42981515,8,10,807947,443707,210,10,112,16,95,8
2,Australia,Australia,379,590,523,23460694,25,22,1018090,1276129,414,19,142,15,-67,14
3,Brazil,Brazil,514,1051,1357,204213133,5,7,3138959,2423272,507,56,442,46,306,19
4,Canada,Canada,564,745,867,35544564,21,24,1526510,1779611,636,24,62,23,122,3
5,China,China,10329,11912,11601,1364270000,9,9,17406242,8333287,9544,1461,708,199,-311,45
6,European Union,EU,3247,4054,3625,503918858,8,7,17669977,17447620,3287,207,420,140,-429,265
7,India,India,2158,3080,3202,1293859294,2,2,6973778,2130703,2199,193,627,61,122,17
8,Indonesia,Indonesia,478,789,2472,255131116,3,10,2552099,942185,527,31,166,65,1682,3
9,Iran,Iran,617,734,801,78411092,9,10,1289919,463903,639,37,35,22,67,15
10,Japan,Japan,1217,1315,1322,127276000,10,10,4750303,5914022,1199,90,21,5,7,31
11,Mexico,Mexico,454,722,729,124221600,6,6,2044570,1179180,482,43,85,112,7,12
12,New Zealand,New_Zealand,32,76,60,4509700,17,13,155444,162376,33,2,39,2,-15,3
13,Nigeria,Nigeria,90,304,492,176460502,2,3,1000866,452285,161,10,64,69,188,2
14,Peru,Peru,54,90,162,30973354,3,5,357599,180388,51,6,23,10,72,2
15,Russian Federation,Russia,1531,2138,2030,143819666,15,14,3634746,1679126,1896,78,92,72,-108,64
16,Saudia Arabia,Saudi_Arabia,535,583,583,30776722,19,19,1537557,651958,516,34,7,26,0,17
17,South Africa,South_Africa,443,525,527,54146735,10,10,674778,413023,453,22,30,19,2,11
18,South Korea,South_Korea,591,671,632,50746659,13,12,1696242,1234340,580,67,13,11,-40,40
19,Turkey,Turkey,343,431,367,77030628,6,5,1725631,1025434,315,38,43,35,-65,11
20,United States,United_States_of_America,5234,6371,6319,318563456,20,20,16511459,16177455,5573,284,351,163,-52,113
21,Zambia,Zambia,4,51,380,15620974,3,24,56743,25319,25,1,23,2,329,0
